cultivar,registered,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
"Music","3 (a)","Y","","Sir C.H. Cave","pre1908","none","none","","",""
"Music Hall","1 (b)","W","Y","J.L. Richardson","pre1923","none","AM Haarlem  1934 FA Haarlem  1935 ","","","Fl. about 140 mm wide; perianth segments broadly ovate, blunt, only very slightly mucronate, pure white, inflexed, somewhat creased, with margins a little wavy, overlapping one-third; the inner segments with margins more strongly wavy, sometimes twisted or with margins recurved; corona cylindrical, smooth, deep golden yellow, with mouth ribbed, rim widely flanged and deeply and regularly notched and dentate"
"Musician","3 (b)","W","","The Brodie of Brodie","c.1932","none","none","‘Mozart’","‘Hades’",""
"Musidorus","9","","","G.H. Engleheart","pre1910","none","none","","",""
"Muskegan","2 (b)","W","","S.A. van Konynenberg & Co.","pre1950","none","none","","",""
"Musketeer","1 (a)","","","W.B. Cranfield","pre1936","`Ormolu'","*HC(g)  1936 *AM(g)  1941 ","","","Perianth segments rich lemon yellow, overlapping; corona buttercup yellow, frilled. Mid-season. 2n=28"
"Muslin","10","W","W","D. Blanchard","pre1952","none","none","{N. cantabricus} var.{foliosus}","{N. romieuxii}",""
"Mussolini","1 (a)","","","A. Frylink & Sons","pre1933","none","AM Haarlem  1933 ","","",""
"Mustang","2 (a)","Y","YOO","J.O. Sherrard","pre1943","none","none","","",""
"Mustapha","1 (a)","Y","Y","de Graaff Bros","pre1923","none","none","","","Perianth segments acute, rich yellow; corona dark yellow, neatly frilled"
"My Choice","2","Y","O","O. Ronalds","pre1951","none","none","‘Hugh Poate’","‘Skylark’","Perianth segments pale yellow, smooth, overlapping; corona pale orange"
"My Dear","2 (b)","W","","R.O. Backhouse","pre1934","none","none","","",""
"My Desire","2 (a)","","","A. Johnson","pre1937","none","none","","",""
"My Fondant","3 (b)","W","","J.E. Exley","pre1950","none","none","","",""
"My Joy","2 (b)","W","","M. van Waveren & Sons","pre1942","none","none","","",""
"My Love","2 (b)","W","Y","J.L. Richardson","pre1947","none","AM(e)  1957 FCC(e)  1959 ","‘White Sentinel’ self pollinated","","Fl. 100 mm wide; perianth segments very broadly ovate, blunt or slightly truncate, only very slightly mucronate, pale creamy white, spreading, slightly concave, smooth and of good substance, overlapping half; the inner segments more narrowly ovate, inflexed at base,reflexed at apex, sometimes twisted; corona cylindrical, smooth, opening brilliant greenish yellow 5B, becoming very pale, with greenish lemon at rim, mouth expanded and finely ribbed, split in places and overlapping, with rim dentate and slightly flanged. 2n=28"
"Myfida","1 (c)","W","W","W.A. Watts","pre1931","none","none","","",""
"Mylor","2 (a)","Y","Y","The Brodie of Brodie","pre1930","none","none","‘Pilgrimage’","‘Royalist’","Resembles an improved `Pilgrimage'"
"Myna","2 (a)","Y","O","A.M. Wilson","pre1948","none","none","‘Fortune’ hybrid","","Perianth segments clear lemon yellow; corona orange"
"Myomy","2 (b)","W","","Mrs BenRobertson","pre1953","none","none","","",""
"Myra","2 (b)","W","Y","Mrs R.O. Backhouse","pre1919","none","none","","","Corona soft lemon yellow"
"Myril","3 (b)","W","YYR","J.T. Gray","pre1949","none","none","","","Perianth segments broadly ovate, blunt or rounded at apex, slightly mucronate, pure white, spreading, plane, smooth and of good substance, overlapping half; the inner segments slightly narrower, more usually rounded at apex, not noticeably mucronate; corona disc-shaped, closely ribbed, with a broad band of red at rim, with the rim minutely crenate"
"Myrin","0","","","","pre1913","none","none","","",""
"Myrniong","2 (a)","","","H.A. Brown","pre1936","none","none","","",""
"Myrniong","0","","P","Alister Clark","pre1948","none","none","","",""
"Myroe","2 (a)","","","G.L. Wilson","pre1937","none","none","","",""
"Myrtle","2 (a)","Y","Y","P.D. Williams","pre1908","none","none","","","Fl. clear deep yellow; perianth segments acute"
"Mystery","1 (b)","W","Y","W. Welchman","pre1913","none","none","","","Corona pale citron yellow"
"Mystic","3 (b)","W","GWO","G.L. Wilson","pre1923","none","AM(e)  1928 ","‘Miss Weisse’","‘Poet’","Fl. 75 mm wide, facing slightly downwards; perianth segments very broadly ovate, rounded at apex, prominently mucronate, creamy greenish white, spreading or a little reflexed, slightly concave, overlapping half; the inner segments a little inflexed, with margins wavy or incurling; corona very shallow bowl-shaped, loosely ribbed, creamy white, with apple green at base and a very narrow band of soft pinkish orange (25B) at rim, frilled. Late. 2n=14"
"Mystical","1 (c)","W","W","L. Buckland","pre1925","none","none","","",""
"Mythical","3 (a)","","","A.M. Wilson","pre1937","none","none","","",""
"Nabob","2 (a)","?W","Y","E. Leeds","pre1877","Incomparabilis Sulphureus `Nabob'","none","","","Perianth segments marbled with sulphur yellow; corona large, expanded"
"Nabob","3 (b)","","","W.B. Hartland","pre1907","none","none","","",""
"Nabob","3 (b)","W","O","F.H. Chapman","pre1931","none","none","","","Perianth segments pale yellow; corona expanded, reddish orange. Resembles an improved`Croesus' with a larger and more-disc-like corona"
"Nabowla","1 (c)","W","W","S.J. Bisdee","pre1939","none","none","‘White Emperor’","‘Beersheba’",""
"Nada","3 (b)","W","","J.T. Gray","pre1938","none","none","","","Corona disc-shaped, with red at rim"
"Naesam","2 (c)","W","W","R.H. Bath","pre1923","none","none","","",""
"Nagora","2 (b)","W","","R.H. Bath","pre1929","none","none","","",""
"Naiad","5","W","Y","G.H. Engleheart","pre1897","none","FCC 1897 ","{N. poeticus}","{N. triandrus}","Fls 2-3 per stem; perianth segments clear white; corona pale straw-coloured"
"Nairobi","2 (b)","W","O","J.L. Richardson","pre1945","none","AM(e)  1948 ","’Aviemore’","’Hades’","Fl. 102 mm wide; perianth segments very broadly ovate, blunt or squarish at apex, slightly mucronate, spreading, plane or with margins very slightly wavy and sometimes incurling, smooth and of thick substance, overlapping half; the inner segments more narrowly ovate, a little inflexed; corona bowl-shaped, loosely ribbed, vivid orange 28B, mouth expanded and in places split and overlapping, frilled. Mid-season"
"Nakomis","1 (b)","W","","R.H. Bath","pre1927","none","none","","",""
"Nakota","2 (c)","W","W","E.C. Powell","pre1946","none","none","","",""
"Nala","1","W","Y","W. Jackson Jr","1965","none","none","‘Rowella’","‘Lod’",""
"Namesake","0","","P","Alister Clark","pre1948","none","none","","",""
"Namsos","2 (c)","W","W","J.L. Richardson","pre1942","none","AM(e)  1949 AM Haarlem  1950 ","‘Niphetos’","‘Kanchenjunga’","Fl. about 111 mm wide, milk white; perianth segments broad, overlapping; corona widely expanded, frilled, with rim dentate"
"Nana","2 or 3 (b or c)","W","","","pre1915","none","none","","",""
"Nancy","2","Y","Y","","","none","none","","",""
"Nanda","1 (c)","W","W","Barr & Sons","pre1923","none","none","","","Perianth segments pure white, overlapping; corona opening creamy white, becoming paler in tone, neatly frilled"
"Nanette","8","W","","","pre1807","none","none","","",""
"Nanda","2 (a)","Y","R","West & Fell","pre1938","none","none","","","Perianth segments deep yellow; corona opening orange, becoming coppery red"
"Nanette","4","W","W","J.L. Richardson","pre1927","none","none","","","Fl. 54 mm wide, white, facing slightly downwards; segments in three whorls; the outer and second whorls broadly ovate in outline, rounded or truncate at apex, very slightly mucronate, with midrib showing and with margins incurling, overlapping half; the outer whorl spreading; the segments of the second whorl opposite those of the outer whorl and one-third their length, inflexed, sometimes sharply folded along midrib, with cream at base; a loose cluster of short narrow segments at centre. Mid-season to late"
"Nangeela","1 (a)","Y","Y","West & Fell","pre1935","none","none","","","Fl. deep golden yellow"
"Nanjemoy","1 (a)","Y","Y","E.C. Powell","pre1946","none","none","","",""
"Nanking","2 (a)","Y","R","J.L. Richardson","pre1938","none","none","‘Marksman’","‘Penquite’","Perianth segments pinkish buff yellow; corona coppery red"
"Nansloe","1 (c)","W","W","P.D. Williams","pre1927","none","none","","",""
"Nantwich","2 (b)","W","","E.L. Jones","pre1949","none","none","","",""
"Nanty","2 (a)","","","L. van Leeuwen & Son","pre1931","`Souvereign'","none","","",""
"Naples","2 (a)","Y","YOO","A. Gibson","pre1951","none","none","","",""
"Napoleon","1 (a)","Y","Y","M. van Waveren & Sons","pre1930","none","none","","","Fl. large; corona slightly darker in tone than the perianth"
"Narang","1","W","Y","W. Jackson Jr","1957","none","none","‘Tamara’","‘Preamble’",""
"Narrabri","9","W","GYR","G.H. Engleheart","pre1927","none","AM(c)  1928 ","","","Perianth segments very broad, blunt or squarish at apex, sometimes a little truncate, fairly prominently mucronate, reflexed, concave at apex and with margins sometimes incurling, of good substance, overlapping half; the inner segments narrower, roundish, not noticeably mucronate, less strongly reflexed; corona small disc-shaped, tightly ribbed, yellow, with green at base and a very narrow band of red at rim"
"Narracott","2 (b)","W","","R.O. Backhouse","pre1938","none","none","","",""
"Narrawong","2","W","OOY","Heathcote Bulb Nursery","pre1960","none","none","","","Corona narrow, apricot orange, with yellow at rim"
"Narrican","2 (a)","Y","O","C.A. Nethercote","pre1957","none","none","","","Perianth segments rich yellow, smooth; corona reddish orange, frilled. Tall"
"Narvik","2 (a)","Y","O","J.L. Richardson","pre1939","none","*(Gulval)PC(m)  1940 AM(e)  1942 AM Haarlem  1950 FCC Haarlem  1956 ","‘Carbineer’","‘Porthilly’","Fl. 95 mm wide; perianth segments broadly ovate, blunt, prominently mucronate, golden yellow, spreading, plane, regular, overlapping half; the inner segments a little narrower, slightly inflexed, shouldered at base and sometimes thumbed, with margins slightly wavy; corona long cup-shaped, deep orange, mouth straight and frilled. Mid-season. 2n=28"
"Nash","1 (b)","W","","A.M. Wilson","pre1950","none","none","","",""
"Nashua","1 (c)","W","W","E.C. Powell","pre1949","none","none","‘Kenbane’","‘Fortune’",""
"Nashville","2 (a)","Y","R","The Brodie of Brodie","pre1931","none","none","","","Perianth segmernts deep yellow; corona red. Early"
"Nassau","3 (a)","","","de Graaff Bros","pre1927","`Walter Scott'","none","","",""
"Nathalie","2 (b)","W","","W.B. Hartland","pre1914","none","none","","",""
"National","2 (b)","W","Y","J.G. Weightman","pre1938","none","none","","","Perianth segments very broad, of strong substance, overlapping; corona rich buff yellow"
"Natrium","2 (a)","","","J.W.A. Lefeber","pre1945","none","none","","",""
"Nauta","2 (a)","Y","YYO","S.C. Gaspar","pre1949","none","none","","","Corona shallow, golden yellow, with reddish orange at rim"
"Nautilus","2 (a)","","","Barr & Sons","pre1923","none","none","","",""
"Navahoe","2 (a)","","","R.H. Bath","pre1933","none","none","","",""
"Navarre","2 (b)","W","","R.H. Bath","pre1931","none","none","","",""
"Navarre","2 (a)","Y","O","L. Buckland","pre1936","none","none","","","Corona reddish orange"
"Navarre","1","Y","Y","RobertGathorne-Hardy","pre-1947","none","none","","","Fl. self yellow; perianth segments ovate or somewhat oblong; inflexed, plane or with margins recurved, overlapping at base only; the inner segments a little narrower, sometimes slightly twisted; corona cylindrical, constricted at mid-point or towards mouth, smooth, mouth ribbed and widely expanded, 6-lobed, with rim closely notched and dentate. Dwarf"
"Naxos","2 (c)","W","W","G.H. Engleheart","pre1923","none","none","","","Perianth segments overlapping; corona with rim flanged. Tall"
"Nazir","3 (b)","W","","R.H. Bath","pre1931","none","none","","",""
"Nearula","3 (b)","W","R","J.L. Richardson","pre1952","none","none","‘Algiers’","‘Mahmoud’","Fl. forming a double triangle; perianth segments broadly ovate, blunt or slightly truncate, prominently mucronate, spreading, a little concave, overlapping one-third to a half; the inner segments more narrowly ovate, shouldered at base, slightly inflexed, with margins incurling; corona almost disc-shaped, ribbed, cerise red, frilled, with rim minutely crenate"
"Neatness","2 (a)","Y","Y","R. Gibson","pre1927","none","none","","","Fl. creamy yellow; corona darker in tone. Mid-season"
"Nectar","2 (a)","","","P.D. Williams","pre1933","none","none","","",""
"Nectarine","3 (b)","W","O","W.B. Hartland","pre1907","none","none","","","Fl. 89mm wide; perianth segments ivory white; corona tangerine orange"
"Nedda","2 (a)","","","N.F. Lock","pre1944","none","none","","",""
"Nefertiti","2 (a)","","","A.H. Ahrens","pre1949","none","none","","",""
"Neglina","3 (a)","","","A.H. Ahrens","pre1951","none","none","","",""
"Neicia","2 (b)","W","","Mrs M. Moorby","pre1949","none","none","","",""
"Neienust","1 (b)","W","","W. de Ruyter","pre1942","none","none","","",""
"Neleta","0","","","W. Jackson Sr","pre1938","none","none","’Blodwen’ hybrid","",""
"Nell Barry","1 (a)","Y","Y","W. Backhouse","pre1869","Pseudonarcissus `Nell Barry'","none","","","Perianth segments sulphur yellow, incurved at apex, with margins notched; corona darker in tone"
"Nella","1 (b)","W","","E.H. Krelage & Son","pre1943","none","none","","",""
"Nelly","3 (b)","W","Y","P.D. Williams","pre1927","none","*HC(g)  1931 ","","","Fl. 95-98 mm wide; perianth segments broadly ovate, creamy white, slightly inflexed, with margins a little incurling, regular, overlapping half to two-thirds; corona cup-shaped, strongly ribbed, brilliant yellow 7B, with rim sometimes stained light orange, mouth straight, split in places and overlapping, closely frilled, with rim crenate. Mid-season to late. 2n=28"
"Nelly","9","W","","","","none","none","","",""
"Nelsonii","2 (b)","W","Y","E. Leeds","pre1877","Nelsonii `Nelsonii'","none","","","Corona straight-sided, sometimes tinged orange on opening. Late. Resembles a much larger-flowered {N. bicolor}"
"Nelsonian","2 (b)","W","","R.P. Cook","pre1949","none","none","","",""
"Nemesis","2","W","Y","W.F.M. Copeland","pre1911","none","none","‘Minnie Hume’","‘Weardale Perfection’","Fl. 102 mm wide; perianth segments ivory white, deeply overlapping; corona short, very widely expanded, light yellow, with mouth deeply frilled. Mid-season"
"Nemo","3 (b)","W","YYO","J.L. Richardson","pre1953","none","*AM(g)  1958 ","","","Fl. 89 mm wide; perianth segments creamy white, of good substance, overlapping half; corona widely expanded, ribbed, vivid yellow 9B, shading to vivid orange 28B towards rim, frilled, with rim crenate. 2n=28"
"Nenone","2 (a)","","","Mrs R.S. Cobley","pre1954","none","none","","",""
"Nenyto","1 (b)","W","","P. van Deursen","pre1931","none","AM Haarlem  1931 ","","",""
"Nepal","2 (a)","","","A.M. Wilson","pre1950","none","none","","",""
"Neptune","2 (b)","W","Y","W.F.M. Copeland","pre1908","none","none","‘Minnie Hume’","‘Grandee’","Perianth segments opening yellow and becoming white, of stiff substance, overlapping; corona cylindrical, narrow, rich yellow"
"Nereides","1 (b)","W","","Barr & Sons","pre1923","none","none","","",""
"Nereus","1 (a)","","","Barr & Sons","pre1923","none","none","","",""
"Nerissa","2 (b)","W","","R.H. Bath","pre1927","none","none","","",""
"Nero","1 (b)","W","Y","Barr & Sons","pre1924","none","*C(g)  1930 ","","","Fl. 89 mm wide; perianth segments creamy white, flushed primrose yellow at base, twisted, regular, overlapping at base only; corona pale buttercup yellow, with mouth expanded and frilled. Mid-season to late. 2n=28"
"Nerrina","2 (a)","","","H.A. Brown","pre1936","none","none","","",""
"Nesta","2","","","Australian origin","pre1961","none","none","","","Resembles `Jean Hood' but with a larger corona"
"Nestor","2 (b)","WWY","Y","Barr & Sons","pre1908","none","none","","","Perianth segments creamy white, flushed canary yellow at base; corona brilliant golden yellow, neatly frilled"
"Nestor","8","Y","Y","","pre1798","none","none","","","Fl. pale yellow"
"Nestucca","2 (b)","W","","Oregon Bulb Farms","pre1951","none","none","","",""
"Netherbow","2 (a)","","","R.H. Bath","pre1929","none","none","","",""
"Netta","2 (b)","W","","L. Buckland","pre1936","none","none","","",""
"Netty","3 (b)","W","","R.H. Bath","pre1930","none","none","","",""
"Neumatic","7","","","","pre1913","none","none","","",""
"Neuralia","1 (c)","W","W","N.Y. Lower","pre1933","none","none","‘Mrs Robert Sydenham’","‘Conqueror’",""
"Neva","0","","","","pre1915","none","none","","",""
"Nevada","3 (a)","","","Warnaar & Co.","pre1929","none","AM Haarlem  1930 ","","",""
"Nevana","2 (b)","W","P","W. Jackson Jr","1956","none","none","Sdlg 86/51","’Ceram’",""
"Neville","1 (a)","","","W.A. Watts","pre1939","none","none","","",""
"Nevin","2 (b or c)","W","","W.A. Watts","pre1923","none","none","‘Minnie Hume’","‘Weardale Perfection’",""
"Nevis","1 (c)","W","W","The Brodie of Brodie","c.1915","none","AM(e)  1924 ","‘King Alfred’ x ’Glory of Noordwijk’","1 W-W","Fl. opening a pale bicolor, soon becoming ivory or milk white; perianth segments ovate, scarcely mucronate, spreading, overlapping one-third; the inner segments inflexed, with margins wavy; corona cylindrical, smooth, with rim rolled and crenate"
"Nevra","2 (c)","W","W","G.L. Wilson","pre1943","none","none","","",""
"New Deal","2 (b)","W","O","Warnaar & Co.","pre1946","none","none","","",""
"New Era","2 (a)","","","L. van Leeuwen & Son","pre1938","none","none","","",""
"New Europe","2 (b)","W","","H. Zeestratun","pre1954","none","none","","",""
"Nanus","2?","W","Y","","","none","none","","",""
"Nanus","3","Y","Y","","","none","none","","",""
"Nanus","2","Y","Y","","pre1878","Incomparabilis Sulphureus `Nanus'","none","","",""
"Delphi","3 (b)","W","GWP","G.H. Johnstone","pre1960","none","none","","",""
"Eisty","2","","","G.H. Johnstone","pre1960","none","none","","",""
"Elsty","2","","","G.H. Johnstone","pre1960","none","none","‘Elspeth’","‘Laity’",""
"Feature","2 (a)","Y","YYR","G.H. Johnstone","pre1960","none","none","","",""
"Fortilly","2","Y","YYR","G.H. Johnstone","pre1960","none","none","‘Fortune’","‘Porthilly’",""
"Frolic","2 (b)","W","YYR","G.H. Johnstone","pre1960","none","none","","",""
"Funface","2","Y","YYO","G.H. Johnstone","pre1960","none","none","‘Mozart’","‘Fortune’",""
"New Gold","2 (a)","Y","Y","G. Lubbe & Son","pre1950","none","AM Haarlem  1950 ","","",""
"New Grange","2 (c)","W","W","J.L. Richardson","pre1949","none","none","","",""
"New Guinea","2 (a)","","","G.L. Wilson","pre1937","none","none","","",""
"New Hope","3 (b)","W","YYR","Warnaar & Co.","pre1953","none","AM Haarlem  1953 ","","","Fl. rounded; perianth segments glistening white, plane"
"New Idea","2 (b)","W","","A. Gibson","pre1951","none","none","","",""
"New Moon","3 (b)","W","WWO","G.L. Wilson","pre1930","none","none","’Mystic’ self pollinated","","Perianth segments pure white, slightly reflexed; corona shallow, widely expanded, pure white, with a narrow band of pale golden orange at rim. Late"
"New York","8","W","O","A. Frylink & Sons","pre1928","none","AM Haarlem  1928 ","","","Corona soft orange"
"Newlaid","2 (b)","W","YYO","Sir F.C. Stern","pre1953","none","none","","","Perianth segments pure white, spreading; corona rich egg yellow, stained deep apricot orange at rim, frilled. Mid-season"
"Newlyn","2 (a)","","","The Brodie of Brodie","pre1925","none","none","‘White Sentinel’","‘Gallipoli’",""
"Newtimber","2 (b)","W","GYY","Sir F.C. Stern","pre1952","none","none","","","Corona lemon, with green at base and a slightly darker tone of yellow at rim"
"Next Door","2 (b)","W","P","Mrs E. Murray","","none","none","","",""
"Ngaire","2 (b)","W","Y","W.E. Weightman","pre1936","none","none","","","Perianth segments deeply overlapping; corona lemon yellow, with a darker tone at rim"
"Niagara","1 (c)","W","W","G.H. Engleheart","pre1931","none","none","","",""
"Niantic","9","W","GYO","E.C. Powell","pre1946","none","none","‘Minuet’","?‘Lord Wellington’","2n=28"
"Nicander","9","","","Cartwright & Goodwin","pre1916","none","none","","",""
"Nicety","3 (a)","","","M.P. Williams","pre1938","none","none","","",""
"Nicholas","1 (a)","","","J.W. Barr","pre1930","none","none","","",""
"Nicolette","7","","","A.H. Ahrens","pre1949","none","none","","",""
"Nida Senff","2 (a)","","","de Graaff Bros","pre1937","none","none","","",""
"Nigel","2 (a)","","","Barr & Sons","pre1903","none","none","","",""
"Nigeria","2 (a)","Y","YYO","J.L. Richardson","pre1942","none","none","‘Porthilly’","‘Carbineer’","Perianth segments broadly ovate, clear yellow; corona large, golden yellow, shading to orange towards mouth, frilled"
"Nilkanta","1 (c)","W","W","G.L. Wilson","pre1941","none","none","‘Kenbane’","‘Kanchenjunga’","Perianth segments spreading, of waxy substance; corona slender, with rim neatly flanged"
"Nillumbik","2 (b)","W","YYR","D.V. West","pre1927","none","none","","","Perianth segments creamy white; corona expanded, orange"
"Nim","2 (b)","W","R","A.M. Wilson","pre1944","none","none","","","Corona disc-shaped, vermilion red"
"Nimbus","3 (b)","W","O","G.H. Engleheart","pre1916","none","none","","","Fls sometimes 2 per stem; perianth segments acute, glistening white, reflexed; corona dark orange. Late"
"Nimrod","2 (a)","Y","Y","P.D. Williams","pre1927","none","*HC(g)  1936 AM(e)Haarlem  1930 FCFA Haarlem  1936 ","","","Fl. 114 mm wide, facing slightly downwards; perianth segments clear yellow, with margins a little incurling, slightly creased, overlapping; corona funnel-shaped, golden yellow, with mouth frilled. Mid-season to late. 2n=28"
"Nina","2 (b)","W","P","A.O. Roblin","1959","none","none","Sdlg","‘Pink Monarch’",""
"Nina","9","","","G.H. Engleheart","pre1914","none","none","","",""
"Ningana","2","Y","Y","W. Jackson Jr","1965","none","none","‘Melissa’ x ‘Jobi’","sdlg 65/57",""
"Niobe","3 (b or c)","W","","W.B. Hartland","pre1907","none","none","","",""
"Nion","8","","","H. Prins","pre1929","none","none","","",""
"Niphetos","2 (c)","W","W","P.D. Williams","pre1927","none","AM(e)  1932 ","","","Perianth segments broadly ovate, blunt, prominently mucronate, pure white, spreading, smooth, with midrib showing, margins sometimes incurling, overlapping half; the inner segments slightly more narrowly ovate, shouldered at base, somewhat twisted; corona opening very pale yellow, becoming creamy white, with mouth ribbed and expanded, rim rolled and regularly crenate. 2n=28"
"Nipigon","2 (b)","W","","Oregon Bulb Farms","pre1951","none","none","","",""
"Nipissing","2 (b)","W","","Oregon Bulb Farms","pre1951","none","none","","",""
"Nipper","3 (b)","W","","","pre1910","none","none","","",""
"Nippit","2 (a)","","","J.E. Exley","pre1950","none","none","","",""
"Niree","1 (a)","Y","Y","W. Jackson Jr","1954","none","none","‘Kalman’","‘Melissa’",""
"Nirvana","7","W","W","Barr & Sons","pre1950","none","none","","","Fl. pure white. Scented"
"Nissa","2 (b)","W","Y","The Brodie of Brodie","c.1920","none","AM(e)  1928 *AM(g)  1950 ","‘Kingdom’ self pollinated","","Fl. 89 mm wide; perianth segments broadly ovate, blunt, slightly mucronate, spreading, plane, overlapping half; the inner segments a little inflexed, somewhat ribbed; corona funnel-shaped, vivid yellow 9A, with mouth expanded and even, rim shallowly crenate. 2n=28"
"Nita","2 (b)","W","","C. Dawson","pre1907","none","none","","",""
"Niveth","5","W","W","H. Backhouse","pre1931","none","*HC(g)  1936 ","","","Fls 2 per stem, 76 mm wide, milk white, facing down; perianth segments broadly ovate, lightly reflexed, overlapping; corona short funnel-shaped. Mid-season to late. 2n=21"
"Niwin","2 (b)","W","","C.A. van der Wereld","pre1949","none","none","","",""
"No Doubt","2","W","YYP","","pre1961","none","none","","","Perianth segments pure white; corona large, yellow, with a broad band of deep pink at rim, frilled"
"Nobbie","2 (b)","W","Y","R. Gibson","pre1927","none","none","","",""
"Gloriole","2 (b)","W","P","G.H. Johnstone","pre1960","none","none","","",""
"Goldsmith","1 (a)","Y","Y","G.H. Johnstone","pre1960","none","none","","",""
"Nobility","9","W","O","","pre1915","none","AM Haarlem  1915 ","","","Fl. large"
"Noble","2 (a)","Y","Y","G.H. Engleheart","pre1907","none","none","","","Fl. pale yellow"
"Noble Star","3 (b)","W","","J.L. Richardson","pre1937","none","none","","",""
"Nobleman","2 (a)","","","R. Dick","pre1933","none","none","","",""
"Noblesse","1 (c)","W","W","E.M. Crosfield","pre1909","none","none","","","Corona long, milk white, tinged pale primrose yellow, mouth expanded, with rim deeply notched"
"Noblesse","2 (a)","","","L. Buckland","pre1936","none","none","","",""
"Nocturne","2 (c)","W","W","G.L. Wilson","pre1942","none","none","‘Marmora’","‘Evening’",""
"Nocturne","9","","","","pre1913","none","none","","",""
"Noel","9","","","G.H. Engleheart","pre1916","none","none","","",""
"Noevta","2 (b)","W","P","","","none","none","","",""
"Nogah","2 (a)","Y","R","A.O. Roblin","c. 1966","none","none","‘Maranoa’","‘Tegwith’",""
"Nokomai","1 (a)","","","G.H. Brownlee","pre1949","none","none","","",""
"Nokomis","1 (c)","W","W","R.H. Bath","pre1933","none","none","","",""
"Nomad","0","","","E.M. Crosfield","pre1913","none","none","","",""
"Nona","2 or 3 (b or c)","W","","","pre1907","none","none","","",""
"Nonotuck","3 (b)","W","YYR","E.C. Powell","pre1946","none","none","","",""
"Nonpareil","1 (b)","W","","","pre1926","none","none","","",""
"Nonpareil","3 (b)","W","GYR","P.D. Williams","pre1932","none","none","","","Perianth segments very broadly ovate, rounded at apex, prominently mucronate, spreading, a little concave, with margins slightly incurling, overlapping half; the inner segments narrower, sharply angled at shoulder, a little inflexed, with margins wavy; corona small bowl-shaped, ribbed, bright yellow, shading to green at base and with a band of dark red at rim, mouth loosely frilled, rim ragged, with some deeply overlapping folds. Mid-season"
"Nonsense","9","","","","pre1914","none","none","","",""
"Nony","8","W","Y","HerutYahel","pre1982","`Bethlehem'","none","Probably {N. papyraceus}","‘Soleil d’Or’","Fls 10-15 per stem, 40 mm wide; perianth segments broadly ovate, blunt, mucronate, yellowish white (155B), spreading, overlapping one-third to a half; the inner segments twisted; corona bowl-shaped, ribbed, brilliant greenish yellow 7C, mouth even or slightly wavy, rim entire. Dwarf. Mid-season to late. Sweetly scented"
"Noon Gold","1 (a)","Y","Y","J.N. Hancock & Co.","c. 1980","none","none","","",""
"Noonday","2 (b)","W","","?A.G. Bull","pre1912","none","none","","",""
"Noontide","2 (a)","","","J.C. Williams","pre1945","none","none","","",""
"Nooreen","3 (b)","","","","","none","none","","",""
"Nora","1 (c)","W","W","","pre-1887","none","none","","","Perianth segments pure white; corona opening primrose yellow, becoming pale creamy white"
"Nora","2 or 3 (b or c)","W","","C. Dawson","pre1907","none","none","","",""
"Noreen","3 (b)","W","","G.C. Graham","pre1951","none","none","","",""
"Norina","2 (b)","W","","J.T. Gray","pre1951","none","none","","",""
"Norma","1 (b)","W","","G.H. Engleheart","pre1903","none","none","","","Perianth segments cream; corona saffron. Early"
"Norma","2 (a)","","","","","none","none","","",""
"Norman","2 (a)","Y","O","Miss G. Evelyn","pre1927","none","AM Haarlem  1933 ","","","Corona intense reddish orange"
"Normandy","8","","","H. Frylink","","none","none","","",""
"Hegar","2 (c)","W","W","G.H. Johnstone","pre1960","none","none","‘Silver Coin’","‘Beersheba’",""
"Marigold","0","","","G.H. Johnstone","pre1960","none","none","","",""
"Melyn","0","","","G.H. Johnstone","pre1960","none","none","","",""
"Nathalie","2 (b)","W","O","G.H. Johnstone","pre1960","none","none","","",""
"Nelamy","2 (b)","W","GYY","G.H. Johnstone","pre1960","none","none","‘Nelly’","‘May Molony’",""
"Neltonia","0","","","G.H. Johnstone","pre1960","none","none","","",""
"Neviski","1 (a)","Y","Y","G.H. Johnstone","pre1960","none","none","‘Nevis’","‘King of the North’",""
"Edelweiss","3 (b)","W","","","","none","none","","",""
"M.Dobell","1","W","Y","","","none","none","","",""
"Nor-Nor","2 (a)","Y","YYO","G.L. Wilson","pre1941","none","none","","","Fl. 73 mm wide; perianth segments opening yellow, becoming whitish yellow, with brilliant greenish yellow 7C at base, overlapping only slightly; corona vivid yellow 14B, shading to yellow-orange (21A) at rim, mouth ribbed and straight, rim crenate. Dwarf. Sunproof"
"Norseman","1 (b)","W","","A.M. Wilson","pre1908","none","none","","",""
"Norseman","2 (b)","W","Y","W.A. Grace","pre1927","none","none","","","Mid-season"
"North Cape","2 (c)","W","W","Barr & Sons","pre1945","none","none","","",""
"North Pole","2 (b)","W","Y","The Brodie of Brodie","c.1910","none","none","‘Minnie Hume’","‘Lady Margaret Boscawen’",""
"North Star","1 (a)","","","W.B. Hartland","pre1914","none","none","","",""
"Norton","5","","","N.Y. Lower","pre1929","none","none","","",""
"Norway","1 (b)","W","Y","H. Bader","pre1939","none","FA Haarlem  1939 FCFA Haarlem  1940 EFA Haarlem  1941 ","","",""
"Nosegay","7","Y","O","R.V. Favell","pre1946","none","none","‘Warlock’","{N. jonquilla}",""
"Nova","3 (b)","W","","W.A. Bell","pre1949","none","none","","",""
