cultivar,division,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
Page Polka,2,YYW,W,Konynenburg & Mark,,none,none,"","","Fl. 115 mm wide; perianth segments lemon yellow, with white at base. Late"
Pahiatua,1,Y,Y,Miss M. Verry,,none,none,"","","Fl. 108 mm wide, deep yellow; perianth segments smooth. Early. Resembles a larger, taller and earlier-flowered 'Goldcourt' of deeper colour"
Pakatoa,3,W,GYR,G. Lewis,,none,none,"","","Perianth segments broad, pure white, smooth; corona yellow, with green at base and a narrow and distinct band of red at rim, mouth expanded and lobed, with rim dentate"
Paladin,2,W,O,F.E. Board,,none,none,Richardson sdlg 985,‘Arbar’,Corona reddish orange. Late
Palaverer,1,W,Y,G.H. Johnstone,,none,none,‘Courtesy’,‘Content’,Fl. 121 mm wide; corona primrose yellow. Early. 2n=28
Pale Moon,2,W,YYO,G. Lewis,,none,none,"","","Corona almost disc-shaped, bright yellow, with a very narrow band of reddish orange at rim"
Paleface,2,W,W,A. Overton,,none,none,"","",""
Palette,11,W,YYO,J. Gerritsen & Son,,none,none,’Canasta’ hybrid,"","Fl. 95 mm wide; perianth segments opening yellow, becoming white; corona deeply split, the six segments opposite and closely overlying the perianth segments, opening greenish yellow, becoming deep yellow, with orange at rim. Mid-season to late"
Palid,2,Y,W,P. & G. Phillips,,none,none,"","","Fl. 88 mm wide; perianth segments pale lemon; corona opening lemon, becoming white. Mid-season"
Palisade,2,W,P,R.C.A. Tombleson,,none,none,"","",Late
Palliser,1,W,Y,D. Bramley,,none,none,"",‘Newcastle’ hybrid,Fl. 105 mm wide. Mid-season
Palm Day,2,Y,Y,A.G. Thompson,,none,none,‘John Evelyn’,‘Imperator’,"Fl. 115 mm wide; perianth segments creamy yellow; corona large, widely expanded, darker in tone than the perianth, frilled. Early. Resembles `John Evelyn' but with improved texture and a larger corona"
Palmares,11,W,P,J. Gerritsen & Son,,none,none,‘Split’,’Collarosa’,"Fl. 90 mm wide; perianth segments broadly ovate, blunt, ivory white, spreading, separated at base, overlapping at mid-point; the inner segments more narrowly ovate; corona split to base, the six segments more than half as long as the perianth segments, opposite to them and inflexed, 3-lobed, apricot pink (24D), with a darker tone at rim and at the notches between lobes, spreading or inflexed, loosely frilled, sometimes with a short linear extra growth at the base of the centre lobe or in place of it; the inner segments of corona and perianth joined at margins at base. Mid-season to late. Resembles `Split' but with a pink corona"
Palmyra,3,W,YRR,G.E. Mitsch,,none,none,‘Cadence’,‘Clockface’,"Fl. rounded, pure white; corona small, orange-red, with yellow at base. Late"
Palo,2,W,P,W. Jackson Jr,1956-03-30,none,none,Sdlg 86/51,‘Ceram’,""
Pamir,2,Y,O,D.W. Lefeber & Co.,,none,none,‘Scarlet Elegance’ hybrid,"",Perianth segments bright golden yellow; corona intense scarlet-orange
Pamlin,2,W,Y,de Graaff Bros,,none,AM Haarlem  1957 ,"","",""
Pamplona,2,Y,R,J.M. de Navarro,,none,none,‘Trevisky’ x ‘Porthilly’,‘Gibraltar’,""
Pan Am,2,Y,R,P. & G. Phillips,,none,none,"","",Fl. 110 mm wide. Mid-season
Panache,1,W,W,G.L. Wilson,,none,FCC(e)  1967 ,Sdlg W35-139 (‘Courage’ x ‘Broughshane’),‘Empress of Ireland’,"Fl. 115 mm wide; perianth segments blunt, with green at base, spreading, regular, overlapping; corona narrow, with mouth expanded, rim flanged and bluntly dentate. Mid-season. 2n=28"
Pandora,3,Y,YYO,?Australian origin,,none,none,"","",""
Pania,3,W,O,J.S. Leitch,,none,none,"","",Fl. 92 mm wide; corona reddish orange. Mid-season
Pankin,2,W,P,W. Jackson Jr,,none,none,‘Saint Therese’,‘Lanka’,""
Pankot,2,W,GWP,Carncairn Daffodils,,none,none,‘Easter Moon’,‘Rose Caprice’,"Fl. 94 mm wide; corona pale yellow, with green at base and delicate orange-pink at rim. Late"
Pantomime,9,W,YYR,Murray W. Evans,1970-03-30,none,none,{N. poeticus} var. {recurvus},‘Dallas’,Fl. 75 mm wide. Late
Paola,2,Y,R,J.S. Leitch,,none,none,"","",Fl. 89 mm wide. Mid-season
Papawai,1,W,Y,J.S. Leitch,,none,none,"","",Fl. 108 mm wide; corona lemon yellow
Paper Sol,8,W,Y,H. Koopowitz,,none,none,‘Paper White’,‘Autumn Sol’,"Fls 9 per stem, 36 mm wide; perianth segments ivory white; corona opening lemon yellow, becoming buff. Very early. Scented"
Papua,4,Y,Y,J.L. Richardson,,none,*AM(g)  1970 *FCC(g)  1971 AGM 1993 ,‘Falaise’,‘Kingscourt’,"Fl. 91 mm wide; perianth segments near to brilliant greenish yellow 6B, overlapping; corona segments near to strong orange-yellow 17A, with rim entire or very slightly dentate. Mid-season. 2n=27"
Paquita,2,W,W,P. & G. Phillips,,none,none,"","",Fl. 105 mm wide. Mid-season
Parable,4,W,P,W.G. Pannill,,none,none,‘Pink Chiffon’,pink sdlg,Fl. 110 mm wide. Mid-season
Paraclete,1,W,Y,A.G. Thompson,,none,none,‘Beersheba’,‘Imperator’,Fl. 102 mm wide; corona pale creamy yellow. Mid-season
Paradise,2,W,W,F.E. Board,,none,none,‘Vigil’,‘Castle of Mey’,Mid-season
Parador,2,Y,O,J.S. Leitch,,none,none,"","",""
Paradox,2,Y,Y,G.E. Mitsch,,none,none,‘Binkie’,‘Lunar Sea’,Fl. pale ivory lemon; corona with a band of a deeper tone at rim. Mid-season
Paragon,2,W,Y,Konynenburg & Mark,,none,none,‘Flaming Torch’,‘Fortune’,Fl. 120 mm wide; perianth segments ivory white; corona vivid yellow 16A. Late
Parasol,1,Y,Y,J.S. Leitch,,none,none,"","",Fl. 111 mm wide
Parcival,2,Y,O,Konynenburg & Mark,,none,none,‘Amy Belle’,‘Memphis’ x ‘Gladiator’,Fl. 90 mm wide; perianth segments vivid yellow 9B; corona strong orange 25A. Early
Parfait,4,W,P,Murray W. Evans,,none,none,‘Pink Chiffon’,‘Accent’,Fl. 100 mm wide. Early to mid-season
Parigo,3,W,YYO,C.A. van Paridon,,none,none,"","","Fl. 106 mm wide; perianth segments ivory white; corona brilliant yellow 12B, with brilliant orange 29A at rim. Late. Resembles a less robust `Selma Lagerl�f'"
Park Lane,1,W,P,W.G. Pannill,,none,none,‘Rima’,‘Salmon Trout’,""
Parkdene,2,W,O,T. Bloomer,,none,none,‘Irish Charm’ x sdlg 202,‘Royal Regiment’,"Corona deep orange, with a paler tone at rim on opening. Tall. Mid-season. Resembles a taller and larger-flowered `Irish Rover' and is more nearly sunproof"
Parkhill,2,W,Y,L.P. Brumley,,none,none,"","","Fl. large; perianth segments smooth, of good substance; corona pale lemon yellow"
Parkridge,2,W,R,T. Bloomer,,none,none,‘Irish Charm’ x sdlg 202,‘Royal Regiment’,Corona deep orange-red. Mid-season. Resembles a larger and more consistent `Royal Regiment'
Parkrose,2,W,P,Murray W. Evans,,none,none,‘Quasar’,‘Arctic Char’,"Perianth segments pure white; corona expanded, reddish pink, with rim dentate. Mid-season. Resembles a larger and broader-flowered `Arctic Char' with the perianth of purer white"
Parnassus,4,W,W,E.W. Cotter,,none,none,‘Silver Rose’,‘Green Island’,""
Parsifal,2,W,R,J.L. Richardson,,none,none,‘Kilworth’,‘Arbar’,"Fl. 112 mm wide; perianth segments pure white; corona orange-scarlet, with rim dentate"
Parterre,2,W,Y,T. Bloomer,,none,none,?‘My Love’ hybrid,"","Fl. 110 mm wide; perianth segments broadly ovate, reflexed; corona constricted near mid-point, lemon yellow. Mid-season. 2n=28"
Parthia,3,W,R,J.L. Richardson,,none,none,‘Kilworth’,‘Arbar’,"Fl. 95 mm wide; perianth segments pure white; corona cherry red, with rim dentate"
Partridge,2,W,P,G.E. Mitsch,,none,none,‘Leonaine’,‘Caro Nome’,"Fl. rounded; perianth segments milk white; corona almost disc-shaped, closely ribbed, apricot salmon, heavily suffused with lavender, deeply frilled. Mid-season"
Party Doll,4,W,P,W.G. Pannill,,none,none,‘Wild Rose’ x ‘Interim’,‘Magic’,Fl. 80 mm wide. Mid-season
Parvati,2,Y,O,J.S. Leitch,,none,none,"","",""
Pascali,1,W,W,G.L. Wilson,,none,none,(‘White Sentinel’ x ‘Kanchenjunga’) x ‘Greenland’,‘Rashee’,""
Pasha,2,Y,O,A. Overton,,none,none,"","",""
Passport,2,Y,YYO,G.W.E. Brogden,,none,none,"","",Fl. 102 mm wide; corona with a broad band of deep reddish orange at rim. Mid-season
Pastel Gem,2,Y,YPP,G.E. Mitsch,,none,none,‘Leonaine’,‘Daydream’,"Fl. 94 mm wide; perianth segments pale lemon yellow; corona suffused with pink, paling to lemon yellow at base. Mid-season"
Pasteline,2,W,P,G.E. Mitsch,,none,none,‘Caro Nome’ x ‘Accent’,‘Precedent’ x ‘Carita’,Fl. 96 mm wide; corona rich deep pink. Early to mid-season. Resembles an improved and slightly later-flowered `Dawncrest'
Pasternak,1,Y,GYY,P.L.A. Pouw,,none,none,‘Rembrandt’,‘Golden Sunbeam’,Fl. 110 mm wide
Pastiche,2,Y,YWW,J.L. Richardson,1976-03-30,none,none,‘Golden Aura’,‘Daydream’,"Perianth segments broadly ovate, blunt, mucronate, smooth, overlapping half; the inner segments very slightly narrower; corona cup-shaped, expanded, loosely frilled. Mid-season."
Pastime,1,Y,Y,Murray W. Evans,1972-03-30,none,none,‘Fine Gold’,‘Kingscourt’ x ‘Roundabout’,Fl. mid-yellow; perianth segments very broad. Mid-season
Pat Pittle,2,W,Y,L.P. Dettman,,none,none,‘Chartwell’ open pollinated,"",Fl. 99 mm wide
Patabundy,2,Y,R,Brian S.Duncan,,none,none,‘Patagonia’,‘Bunclody’,"Fl. forming a double triangle; perianth segments broadly ovate, blunt, slightly mucronate, deep golden yellow, spreading, a little concave, regular, overlapping half; the inner segments more nearly acute, angular at shoulder, with margins shallowly incurved; corona bowl-shaped, deep orange-red, with mouth straight, frilled. Mid-season. Resembles a sunproof and more consistent `Bunclody'"
Patachou,2,Y,O,C.M. Grullemans,,none,none,"","","Perianth segments pale yellow; corona clear pale orange, with a darker tone at rim, frilled"
Patagonia,2,Y,O,J.L. Richardson,,none,*AM(g)  1968 ,‘Narvik’,‘Sun Chariot’,"Fl. 88 mm wide; perianth segments vivid yellow 9A, overlapping half; corona opening orange-yellow (17B), becoming strong orange 25A, with mouth expanded and rim crenate. 2n=28"
Patchit,3,W,OOR,P. Phillips,,none,none,"","","Fl. 98 mm wide; perianth segments somewhat reflexed, smooth and of good substance; corona with a broad band of bright red at rim, mouth expanded and frilled. Mid-season"
Patrician,2,Y,Y,G.E. Mitsch,,none,none,‘Galway’,‘Saint Keverne’,"Fl. 108 mm wide; perianth segments golden yellow; corona funnel-shaped, slightly deeper in tone than the perianth. Mid-season"
Patrol,6,Y,R,P. Phillips,,none,none,"","",""
Patsy,1,Y,Y,Sir F.C. Stern,,none,none,‘Tanagra’,{N. atlanticus},Fl. pale yellow. Early
Pavlova,4,W,Y,Unknown origin,,none,none,"","",95 mm wide; corona segments deep yellow. Mid-season
Pay Day,1,YYW,W,Elise Havens,,none,none,‘Royal Oak’,‘Daydream’,"Fl. 105 mm wide; perianth segments very broadly ovate, blunt, lemon yellow, with prominent white mucro and with a band of white at base, spreading, plane, overlapping half; the inner segments square-shouldered at base, a little inflexed; corona funnel-shaped, lightly ribbed, opening lemon yellow, becoming white, with mouth flared and more strongly ribbed, frilled, with rim notched and crenate. Late"
Peace,2,W,W,G.W.E. Brogden,,none,none,"","",""
Peace Pipe,1,W,Y,Murray W. Evans,,none,none,‘Effective’ hybrid,"",""
Peaceful,2,W,OOY,G.E. Mitsch,1960-03-30,none,none,‘Artist’s Model’,‘Blarney’s Daughter’,"Fl. 94 mm wide; perianth segments milk white; corona bowl-shaped, salmon orange, with yellow at rim. Mid-season"
Peach Pink,4,W,P,D.S. Bell,,none,none,"","",""
Peacock,2,W,WWP,W.G. Pannill,,none,none,‘Green Island’,‘Accent’,Fl. 97 mm wide
Peart,9,W,GYO,Murray W. Evans,1966-03-30,none,none,‘Milan’,({N. poeticus} var. {recurvus} x ‘Carolina’),"Perianth segments roundish, smooth; corona disc-shaped, with reddish orange at rim. Mid-season. Resembles a smoother-flowered `Milan' of improved quality"
Pebbles,2,Y,O,J.S. Leitch,,none,none,"","",""
Peblo,2,Y,O,J.S. Leitch,,none,none,"","",""
Peekoa,2,Y,R,J.S. Leitch,,none,none,"","",""
Peggy Low,5,W,Y,L.P. Dettman,,none,none,‘Laura’ hybrid,"","Fl. 55 mm wide; perianth segments ice white, reflexed; corona cup-shaped, brilliant yellow 9C, with mouth somewhat constricted. Mid-season. Resembles a larger `Laura' with the perianth segments less strongly reflexed"
Pelorus,2,Y,O,S.C. Gaspar,1951-03-30,none,none,"","",Fl. 89 mm wide; perianth segments clear yellow; corona reddish orange. Mid-season
Pelsen,1,Y,Y,P. Phillips,,none,none,"","","Fl. 108 mm wide, sulphur yellow. Mid-season. Resembles `Kanga' in form but not colour"
Pencarrow,2,Y,R,G. Lewis,,none,none,"","",""
Pendant,1,W,Y,A.G. Thompson,,none,none,"","","Fl. 115 mm wide, facing down; perianth segments pale creamy white; corona clear yellow. Mid-season. Resembles `Lapford' but with an improved corona"
Penguin,2,W,W,C.E. Radcliff,,none,none,‘Easter Moon’,‘Empress of Ireland’,Fl. 125 mm wide. Mid-season
Pennant,1,W,Y,G.W.E. Brogden,,none,none,"","","Perianth segments pure white; corona slender, chrome yellow, with rim dentate. Early"
Pentille,1,Y,Y,Mrs H.K. Richardson,,none,none,‘Yellow Idol’ open pollinated,"",Fl. 115 mm wide. Late
Penyoke,1,W,Y,du Plessis Bros,,none,none,"","",Fl. 112 mm wide. Mid-season
Pequenita,7,Y,Y,J.W. Blanchard,,none,PC 2010 ,{N. atlanticus},{N. cuatrecasasii},"Fl. primrose yellow; perianth segments very broadly ovate in outline, rounded or squarish at apex, with whitish mucro prominent, a little reflexed, smooth, overlapping one-third to a half; the inner segments more narrowly ovate, only very slightly mucronate, more nearly spreading, with margins wavy; corona cup-shaped, very lightly ribbed, darker in tone than the perianth, with mouth straight or slightly incurved, wavy, rim entire or obscurely crenate. Very early"
Perdita,9,W,GYR,D.W.Gourlay,,none,none,"","","Fl. 74 mm wide; perianth segments very broadly ovate, blunt or truncate, prominently mucronate, a little reflexed, concave, overlapping half; the inner segments more nearly spreading, with margins more strongly incurved; corona very shallow bowl-shaped, ribbed, pale yellow, with green at base and red at rim, mouth wavy, obscurely 3-lobed, with the lobes sometimes overlapping, rim minutely dentate. 2n=28"
Perhaps,2,Y,Y,Ken Farmer Nurseries,,none,none,"","",Fl. 125 mm wide; perianth segments pale yellow; corona bright yellow. Mid-season
Pericles,1,W,W,J.L. Richardson,,none,none,‘Spitzbergen’,‘Cantatrice’,"Fl. pure white; perianth segments broadly ovate; corona frilled, with rim flanged"
Peridot,2,W,GYY,G.L. Wilson,,none,none,"","",""
Perimeter,3,Y,YYO,J.L. Richardson,,none,none,‘Aranjuez’,‘Narvik’,Perianth segments soft yellow; corona with a narrow band of reddish orange at rim
Perky,6,W,W,G.E. Mitsch,,none,none,‘Mitylene’,{N. cyclamineus},"Fl. 89 mm wide; corona opening pale lemon yellow, becoming sulphur white. Mid-season. Resembles a smaller-flowered `Frostkist' of improved substance"
Perlee,2,W,W,Miss M. Verry,,none,none,‘Truth’,‘Ludlow’,Fl. 95 mm wide
Perosi,1,Y,O,J.W.A. Lefeber,,none,none,"","",""
Perri,7,Y,O,J.S. Leitch,,none,none,"","","Fls 3-4 per stem, 64 mm wide. Late"
Perseus,1,W,W,J.L. Richardson,,none,none,‘Broughshane’,‘Brussels’,Fl. pure white; corona with rim rolled. Late
Peru,2,Y,R,J.L. Richardson,,none,none,‘Carbineer’,‘Royal Ransom’,"Perianth segments pale yellow, of thick substance; corona bowl-shaped, deep red"
Perugia,2,W,O,J.M. de Navarro,,none,none,‘Fermoy’,‘Carrowmore’,"Corona yellow, deeply stained bright reddish orange. Sunproof"
Pet,4,W,Y,S.C. Gaspar,,none,none,"","",Corona segments bright yellow
Pet Finch,7,Y,O,M.J. Jefferson-Brown,1959-03-30,none,none,‘Harrier’,{N. jonquilla},Perianth segments gold; corona orange. Early
Peterman,2,Y,OOR,P. Phillips,,none,none,"","","Fl. 100 mm wide; perianth segments acute; corona funnel-shaped, mid-orange, shading to bright red at rim. Mid-season"
Petite,7,Y,YOO,G.E. Mitsch,,none,none,‘Playboy’ x ‘Paricutin’,{N. assoanus},"Fl. rounded; perianth segments clear yellow; corona small, light orange, paling to yellow at base. Late"
Petition,2,W,Y,G.W.E. Brogden,,none,none,"","",Fl. 108 mm wide; corona lemon yellow. Mid-season. Resembles a better poised `Tudor Minstrel'
Petra,3,W,GGO,J.L. Richardson,,none,none,‘Corofin’ open pollinated,"","Corona yellow-green, with orange at rim and the rim dentate"
Petrel,5,W,W,G.E. Mitsch,,none,none,‘Quick Step’,{N. triandrus},"Fls up to 7 or more per stem, ivory white; perianth segments broadly oblong in outline, blunt or truncate at apex, slightly mucronate, a little reflexed, plane, overlapping one-third; the inner segments with margins wavy; corona cup-shaped, mouth straight, even, rim obscurely crenate. Late. With occasional secondary stems. Resembles `Quick Step' but with much broader perianth segments"
Pewee,3,W,GWP,Mrs G. Link,,none,none,‘Evening’,‘Dunkeld’,"Fl. 64 mm wide, of smooth texture and good substance; corona with dark green at base and a narrow band of pink at rim"
Pex,2,Y,O,J.S. Leitch,,none,none,"","",""
Phaenomen,3,W,Y,Konynenburg & Mark,,none,none,"","",Fl. 111 mm wide; perianth segments ivory white; corona pale greenish yellow 9D. Mid-season
Phalarope,6,W,Y,G.E. Mitsch,,none,none,‘Titania’,{N. cyclamineus},"Fl. 82 mm wide; perianth segments ovate, milk white, tinged yellow at base, strongly reflexed, with margins sometimes notched, smooth, overlapping a quarter to one-third; corona cylindrical, smooth, clear lemon yellow, mouth ribbed and flared, even, rim notched and dentate, flanged. Early. Resembles `Perky' but with the corona more widely flared"
Phantom,11,W,P,G.E. Mitsch,,none,none,‘Accent’,’Wild Rose’ x ’Hillbilly’,"Fl. 105 mm wide; corona deeply split, the six segments opposite and closely overlying the perianth segments, opening yellowish, becoming buffy pink. Mid-season"
Phebe,9,W,GYO,Mrs G. Link,,none,none,‘Sidelight’,‘Sea Green,"Fl. 62 mm wide; corona amber yellow, with cypress green at base and burnt orange at rim. Late. Resembles a more brilliantly coloured `Sidelight' with a larger corona with the rim closely and deeply notched, as if fringed. 2n=14"
Philo,2,W,P,W. Jackson Jr,,none,none,‘Imp’,‘Dallbro’,""
Picasso,3,W,YYO,Carncairn Daffodils,1973-03-30,none,none,‘Corofin’,‘Merlin’,"Fl. 92 mm wide; corona yellow, with bright orange at rim. Late"
Piccolo,1,Y,Y,J. Gerritsen & Son,,none,none,{N. minor},‘Little Gem’,Fl. 45 mm wide; perianth segments brilliant greenish yellow 6B; corona vivid yellow 9A. Early
Pick Up,11,W,YOO,J. Gerritsen & Son,,none,none,"","","Perianth segments opening pale greenish yellow, becoming white; corona strong orange 24A, with a paler tone at base, and with some flecks of yellow and white at rim. 2n=28"
Pickwick,2,W,YYO,G.L. Wilson,,none,none,‘Fairy Tale’,‘Raphoe’ x ‘Killala’,Corona somewhat funnel-shaped. 2n=28
Picnic,2,W,Y,Murray W. Evans,,none,none,Sdlg,’Accent’,Fl. 105 mm wide. Mid-season
Picotee,2,W,WWO,G. Errey,,none,none,"","",Fl. 102 mm wide; corona with reddish orange at rim. Late
Piculet,5,Y,Y,G.E. Mitsch,,none,none,‘Bahram’ x ‘Ardour’,{N. triandrus} var. {concolor},Fl. rounded; perianth segments slightly reflexed; corona very shallow bowl-shaped. Mid-season
Pidget,9,W,GYR,Mrs H.K. Richardson,,none,none,‘Como’ open pollinated,"","Perianth segments very broad, truncate, a little reflexed, plane, sometimes concave near apex, overlapping half; the inner segments with margins wavy or incurled; corona disc-shaped, closely ribbed, with mouth wavy, rim minutely incised. Dwarf. Late"
Piedmont,2,W,W,W.G. Pannill,1970-03-30,none,none,‘Easter Moon’,‘Vigil’,Mid-season
Pierette,2,Y,YYR,G. Lewis,,none,none,"","","Perianth segments deep yellow; corona broad disc-shaped, with bright red at rim"
Pikamanu,3,W,R,A.B. Davey,,none,none,‘Ellen Mann’,‘Arbar’,Fl. 88 mm wide. Mid-season. Resembles a much improved `Ellen Mann'
Pilata,2,W,W,J.S. Leitch,,none,none,"","",Fl. 115 mm wide. Late
Pillage,2,W,W,J.S. Leitch,,none,none,"","",""
Pillar Box,2,Y,OOR,K.J. Heazlewood,,none,none,‘Dunkeld’,‘Royal Mail’,"Perianth segments broad, rounded at apex, smooth; corona orange, shading to red at rim, mouth expanded and frilled"
Pimm,2,Y,R,T. Bloomer,,none,none,‘Break of Day’,‘Shining Light’,Perianth segments deep golden yellow; corona bright orange-red. Resembles a richer-coloured `Shining Light'
Pimpernel,2,Y,O,J. Gerritsen & Son,,none,AGM 2001 ,‘Orange Progress’ hybrid,"",Perianth segments vivid yellow 9A; corona strong orange 30D. Mid-season
Pin Money,7,Y,O,C.R. Wootton,,none,none,‘Blinkbonny’,{N. jonquilla},""
Pinafore,2,W,W,G.E. Mitsch,1955-03-30,none,none,‘Green Island’,‘Chinese White’,Fl. 102 mm wide; corona with rim rolled. Mid-season
Pinaster,2,W,W,A.H. Ahrens,,none,none,"","",""
Pinata,2,Y,R,J.S. Leitch,,none,none,"","",""
Pink Angel,7,W,GWP,G.E. Mitsch,1964-03-30,none,none,‘Wild Rose’ x ‘Interim’,{N. jonquilla},"Fls 1-3 per stem, 72 mm wide; perianth segments snow white; corona snow white, with clear green at base and bright pink at rim. Mid-season. Scented"
Pink Art,2,W,WPP,D.S. Bell,,none,none,‘Artist’s Model’,pink sdlg,"Corona broad, almost disc-shaped, pink, with white at base"
Pink Bomb,2,W,PPR,G.E. Mitsch and R. & E.Havens,1971-03-30,none,none,‘Precedent’,‘Eclat’,"Perianth segments broad; corona expanded, deep bright pink, with red at rim. Mid-season"
Pink Bowl,2,W,P,J.N. Hancock & Co.,,none,none,"","","Corona bowl-shaped, flushed creamy pink"
Pink Candy,2,W,P,J.A. O'More,,none,none,‘Topic’,‘Tarago Pink’,""
Pink Charm,2,W,WWP,P. de Jager & Sons,,none,none,"","","Fl. 90 mm wide; perianth segments ivory white; corona yellowish white, with a broad band of chinese coral at rim. Mid-season"
Pink Coat,2,W,P,R.C.A. Tombleson,,none,none,"","",Fl. 118 mm wide. Mid-season. Resembles a larger `Mukana' with rounder perianth segments and a brighter pink corona
Pink Elite,2,W,P,D.S. Bell,,none,none,1 Y-Y,‘Hicol’,"Fl. 102 mm wide; perianth segments opening white, sometimes becoming yellowish; corona strong pink. Mid-season"
Pink Era,2,W,P,J.A. O'More,,none,none,‘Vasey’,‘Tarago Pink’,"Perianth segments milk white, smooth, of good substance; corona funnel-shaped, deep pink, with rim dentate. Late"
Pink Fire,2,W,P,G.E. Mitsch and R. & E.Havens,1975-03-30,none,none,‘Precedent’ x ‘Accent’,‘Spaceship’,"Perianth segments pure white; corona bowl-shaped, deep reddish pink, frilled. Mid-season"
Pink Flame,2,W,P,G.E. Mitsch and R. & E.Havens,1975-03-30,none,none,‘Precedent’ x ‘Accent’,‘Spaceship’,"Perianth segments pure white; corona bowl-shaped, slightly flared, very deep reddish pink, frilled. Mid-season"
Pink Flare,2,W,P,Murray W. Evans,1964-03-30,none,none,‘Rose of Tralee’,‘Rose City’,Fl. 95 mm wide. Mid-season
Pink Frost,2,W,P,G.E. Mitsch and R. & E.Havens,,none,none,‘Lough Maree’,‘Radiation’,"Fl. 105 mm wide; perianth segments milk white; corona light pink, with a hint of lavender. Mid-season"
Pink Gin,4,W,P,Mrs H.K. Richardson,,none,none,‘Marietta’,‘Irani’,Mid-season
Pink Ice,2,W,P,Elise Havens,,none,none,‘Precedent’,sdlg A5/12 (‘Caro Nome’ x ‘Accent’),"Fl. 85 mm wide; perianth segments very broadly ovate, fairly prominently mucronate, ivory white, spreading, a little concave and with margins minutely incurling, smooth, overlapping half; the inner segments a little inflexed; corona bowl-shaped, smooth, salmon pink, with mouth ribbed and straight, frilled, with rim crenate. Mid-season. Resembles a smaller `Coral Light' with the corona self coloured on opening"
Pink Jewel,3,W,GWP,E.W. Cotter,,none,none,‘Dallas’,‘Dreamlight’,"Fl. rounded, 76 mm wide; perianth segments glistening white, of waxy substance; corona disc-shaped, white, with emerald green at base and a line of bright pink at rim"
Pink Lotus,2,W,P,E.W. Cotter,,none,none,‘Salmon Trout’,‘Roselene’,"Corona apricot pink, with a slightly lighter tone at base, with rim rolled"
Pink Mink,2,Y,P,Brian S. Duncan,,none,none,‘Binkie’ hybrid,Rathowen sdlg 3341,Perianth segments mid- to pale yellow; corona pale pink. Mid-season. Resembles `Milestone'
Pink Morn,2,W,GWP,Mrs G. Link,,none,none,‘Glenside’,‘Tangent’,Fl. 100 mm wide. Mid-season. Resembles a smoother `Tangent' of better form and heavier substance
Pink Pride,2,W,WPP,W.P. van Eeden,,none,AM Haarlem  1970 ,‘Pink Rim’,‘Lady Kesteven’,""
Pink Sable,4,W,P,D.S. Bell,,none,none,‘Papanui Queen’ x ‘Temple Bells’,‘Hicol’,Fl. 110 mm wide; perianth and other petaloid segments pure white; corona segments soft pink. Mid-season
Pink Satin,2,W,P,G.E. Mitsch and R. & E.Havens,1974-03-30,none,none,‘Radiation’ x ‘Rima’,‘C.E.Radcliff’,Very smooth. Early
Pink Shell,2,W,P,G. Lewis,,none,none,"","",""
Pink Silk,1,W,P,R. Havens,,none,AM 2009 ,‘At Dawning’,’Graduation’,"Fl. forming a double triangle, 95 mm wide, smooth and of good substance; perianth segments very broadly ovate, blunt, slightly mucronate, spreading, plane, smooth, with margins slightly incurling, overlapping half; the inner segments more narrowly ovate, a little inflexed, with margins sometimes wavy; corona funnel-shaped, angled, pale pink at base, shading to bright pink at rim, mouth ribbed and flared, wavy, rim minutely and regularly crenate. Mid-season. Resembles a larger and more brightly coloured `At Dawning'"
Pink Star,2,W,YPP,F.A. Saunders,,none,none,‘Carnlough’,‘Panshanger’,Fl. 95 mm wide; perianth segments broad; corona with creamy yellow at base. Mid-season
Pink Step,7,W,P,G.E. Mitsch and R. & E.Havens,1972-03-30,none,none,‘Quick Step’ open pollinated,"","Fls 2-3 per stem; corona bowl-shaped, pastel pink. Dwarf. Late. 2n=28. Resembles an improved `Quick Step' with a darker corona"
Pink Swan,2,W,P,G.E. Mitsch,1970-03-30,none,none,‘Mrs Oscar Ronalds’,‘Debutante’,Fl. 110 mm wide. Mid-season
Pink Tea,2,W,P,Murray W. Evans,,none,none,‘Irish Rose’,‘Cordial’ x ‘Accent’,"Fl. 110 mm wide; perianth segments very broad in outline, blunt or somewhat squarish at apex, truncate, prominently mucronate, spreading or slightly reflexed, with margins incurved; the inner segments with margins wavy; corona short funnel-shaped, very broad, ribbed, light pink, with mouth split in places and straight, rim notched and crenate. Mid-season"
Pink Wing,2,W,P,Murray W. Evans,,none,none,‘Rose City’ x ‘Irish Rose’,‘Caro Nome’,Fl. 97 mm wide. Mid-season
Pintio,2,Y,O,J.S. Leitch,,none,none,"","",""
Pinza,2,Y,YYO,J.L. Richardson,,none,AM(e)  1962 *AM(g)  1966 *FCC(g)  1970 HC(p)  1986 AGM 1993 ,‘Ceylon’,‘Narvik’,"Fl. 94 mm wide; perianth segments broadly ovate, blunt, slightly mucronate, vivid yellow 9A, spreading, plane, smooth, regular, overlapping half; the inner segments slightly more narrowly ovate, shouldered at base, a little inflexed; corona cup-shaped, lightly ribbed, vivid orange-yellow 21A at base, shading to a broad band of orange (28A) at rim, mouth more closely ribbed, lightly frilled, with rim slightly flanged. 2n=28"
Pionbo,11,W,R,J.W.A. Lefeber,,none,none,"","",""
